Bedroom,Bathroom,Property Size,Ad List,Facilities,Building Name,Developer,Tenure Type,Address,Completion Year,# of Floors,Total Units,Property Type,Parking Lot,Floor Range,Land Title,Firm Type,Firm Number,REN Number,Park,School,price
3.0,2.0,660.0,103806285,"Parking, Playground, Security",Sri Aman Block C (Sri Aman Block 1 & 3),Ideal Property Group,Freehold,"Persiaran Paya Terubong 3, Bukit Jambul, Penang",2008.0,18.0,701.0,Apartment,1.0,Medium,Non Bumi Lot,E,31970,REN 03281,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,265000
3.0,2.0,1246.0,103739661,"Playground, Gymnasium, Sauna, Security, Swimming Pool, Parking, Jogging Track, Lift, Barbeque area",QuayWest Residence,Asia Green Group,Freehold,"Persiaran Bayan Indah Off Bayan Mutiara, Batu Uban, Penang",2021.0,24.0,1235.0,Condominium,2.0,Medium,Non Bumi Lot,E,11307,REN 61472,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,790000
2.0,1.0,550.0,103696451,"Security, Parking",Taman Relau Jaya,Ideal Property Group,Freehold,"Lebuh Relau 3, Sungai Ara, Penang",2014.0,20.0,462.0,Flat,1.0,Low,Non Bumi Lot,E,31970,REN 03281,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,230000
3.0,2.0,1250.0,103580644,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Ameera Residence,TLS Group,Freehold,"Jalan Mutiara 3, Mutiara Heights,, Kajang, Selangor",2016.0,20.0,428.0,Condominium,2.0,Medium,Non Bumi Lot,E,31484,REN 22963,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,340000
3.0,2.0,1048.0,102452522,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Lift",Intan Apartment (Puchong),Ideal Property Group,Freehold,"Jalan Intan, Taman Puchong Intan, Puchong, Selangor",1990.0,10.0,462.0,Apartment,1.0,Medium,Non Bumi Lot,E,31484,REN 22963,"Park at Kampung Bersatu, Subang Jaya
Park at Puchong Intan Park, Subang Jaya
Park 1 at Subang Jaya, Petaling
Park 1 at Puchong Perdana, Subang Jaya
Park 2 at Puchong Perdana, Subang Jaya
Park at Taman Permainan Puchong Permai, Pangsapuri Puchong Permata 1
Park at Taman Tasik Puchong Perdana, Puchong Perdana
Park at Kampung Sri Langkas Tambahan, Subang Jaya
Park at Kampung Sri Puchong, Kampung Kenangan",Sekolah Kebangsaan Puchong Indah,230000
3.0,2.0,1150.0,103806203,"Swimming Pool, Barbeque area, Parking, Tennis Court, Minimart, Playground, Squash Court, Sauna, Security, Gymnasium, Lift, Club house",Leader Garden,Ideal Property Group,Freehold,"No 1, Jalan Chee Seng 13, Tanjung Bungah, Penang",1998.0,20.0,428.0,Condominium,1.0,Low,Non Bumi Lot,E,11584,REN 21767,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,430000
2.0,1.0,553.0,103806202,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Seksyen 1 flat block c4,Ideal Property Group,Leasehold,"Seksyen 1 flat block c4, Kuala Lumpur, Wangsa Maju",2014.0,20.0,462.0,Flat,1.0,High,Bumi Lot,E,11752,REN 31018,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,155000
3.0,2.0,901.0,103806192,"Parking, Swimming Pool, Jogging Track, Gymnasium, Security, Lift, Barbeque area, Multipurpose hall",Eco Bloom @ Eco Meadows,Eco World Development Group Berhad,Freehold,"Jalan Paboi, Simpang Ampat, Penang",2020.0,33.0,490.0,Condominium,2.0,High,Non Bumi Lot,E,11605,REN 49410,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,500000
1.0,1.0,452.0,103246638,"Security, Swimming Pool, Gymnasium, Parking, Minimart, Multipurpose hall, Barbeque area, Lift",Paramount Utropolis,Paramount Property,Freehold,"Jalan Kontraktor U1/14, Hicom-Glenmarie Industrial Park, Shah Alam, Selangor",2020.0,12.0,136.0,Studio,1.0,High,Bumi Lot,VEPM,30263,REN 46580,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Montfort Boys Town,350000
2.0,2.0,1016.0,103740356,"Playground, Swimming Pool, Sauna, Security, Gymnasium, Multipurpose hall, Barbeque area, Parking",Grace Residence,Nova Mulia Development Sdn Bhd,Freehold,"Jalan Jelutong, Off Tun Dr. Lim Chong Eu Hwy, Jelutong, Penang",2018.0,44.0,378.0,Condominium,2.0,Medium,Non Bumi Lot,E,31970,REN 03281,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,620000
4.0,2.0,900.0,103589322,"Parking, Security, Barbeque area, Playground",Sri Baiduri Apartment,Ideal Property Group,Freehold,"Jalan UP 4/5, Sri Baiduri, Ampang, Selangor",2014.0,5.0,462.0,Apartment,2.0,Low,Bumi Lot,E,12408,REN 12408,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia","Sekolah Rendah Islam Integrasi ILMI
Sekolah Menengah Agama (A) ILMI",310000
3.0,2.0,650.0,103582335,"Minimart, Security, Parking, Playground, Lift",Kasturi Apartment (Bdr Tasik Permaisuri),Ideal Property Group,Leasehold,"Jalan Permaisuri 3, Bandar Sri Permaisuri, Cheras, Kuala Lumpur",2014.0,17.0,462.0,Apartment,1.0,Low,Bumi Lot,E,11989,REN 28081,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,240000
3.0,2.0,1182.0,103386504,"Minimart, Playground, Swimming Pool, Multipurpose hall, Gymnasium, Barbeque area, Parking, Security, Sauna",Sierra Residences,GSD Land (M) Sdn Bhd,Freehold,"Jalan Fettes, Off Jalan Paya Terubong, Sungai Ara, Penang",2015.0,25.0,300.0,Condominium,2.0,High,Non Bumi Lot,E,31970,REN 03281,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,500000
3.0,2.0,872.0,103684680,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Kajang Service Apartment,Ideal Property Group,Freehold,"Kajang, Selangor, Kajang",2014.0,20.0,462.0,Apartment,2.0,Medium,Non Bumi Lot,E,11584,REN 22963,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,341500
1.0,2.0,450.0,103683568,"Multipurpose hall, Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Jogging Track, Club house",Semenyih Service Residences,Ideal Property Group,Freehold,"Jalan Semenyih Off Jalan Bandar Rinching, Semenyih, Selangor",2014.0,20.0,462.0,Condominium,1.0,Medium,Non Bumi Lot,E,11584,REN 22963,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,230500
2.0,2.0,1005.0,103806074,"Gymnasium, Multipurpose hall, Parking, Security, Swimming Pool, Playground, Tennis Court, Squash Court, Jogging Track, Barbeque area, Sauna, Lift",Molek Regency,ALPHA ASTRAL REALTY SDN BHD,Freehold,"Jalan Molek 3/20, Taman Molek, Johor Bahru, Johor",2018.0,20.0,1050.0,Condominium,1.0,Medium,Non Bumi Lot,E,11584,REN 63582,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,515000
1.0,1.0,430.0,103805967,"Parking, Playground, Gymnasium, Sauna, Multipurpose hall, Security, Swimming Pool, Lift",Parc Regency Serviced Apartment,Malaysia Land Properties Sdn. Bhd.,Freehold,"Off Jalan Masai Baru, Plentong, Johor Bahru, Johor",2019.0,25.0,2003.0,Service Residence,1.0,Low,Non Bumi Lot,E,11584,REN 63582,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,200000
3.0,2.0,1050.0,103805963,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Prima Regency Service Apartment,Ideal Property Group,Freehold,"Jalan Masai Baru, Plentong, Johor Bahru, Johor",2014.0,4.0,462.0,Service Residence,1.0,Medium,Non Bumi Lot,E,11584,REN 63582,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,298000
3.0,2.0,986.0,103805953,"Club house, Parking, Security, Minimart, Lift, Sauna, Squash Court, Jogging Track, Multipurpose hall, Swimming Pool, Gymnasium, Playground, Barbeque area",D'Inspire Residence @ Nusa Bestari,Khoo Soon Lee Realty Sdn. Bhd.,Freehold,"Taman Nusa Bestari, Skudai, Iskandar Puteri, Johor",2015.0,25.0,585.0,Apartment,2.0,High,Non Bumi Lot,E,11584,REN 63582,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,418000
3.0,2.0,950.0,103615831,"Parking, Security, Lift",Plaza Indah,TLS Group,Freehold,"Jalan Sepakat Indah 1, Off Jalan Sungai Shua, Taman Sepakat Indah, Kajang, Selangor",2014.0,20.0,309.0,Apartment,1.0,Medium,Non Bumi Lot,E,31484,REN 22963,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,220000
3.0,2.0,1055.0,102461841,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Koi Prima,Masteron Group,Leasehold,"Jalan Puchong, Puchong, Selangor",2014.0,20.0,462.0,Condominium,2.0,Medium,Non Bumi Lot,E,31484,REN 22963,"Park at Taman Kinrara, Subang Jaya
Park at Taman Kinrara Seksyen 7, Subang Jaya
Park at Taman Kinrara Seksyen 2, Subang Jaya
Park 1 at Bandar Kinrara, Subang Jaya
Park at Taman Kinrara Seksyen 4, Subang Jaya
Park at Taman Kinrara Seksyen 1, Subang Jaya","Sekolah Jenis Kebangsaan (Cina) Yak Chee
Sekolah Jenis Kebangsaan (Tamil) Kinrara
Sekolah Kebangsaan Seksyen 1 Bandar Kinrara
Kafa Integrasi Al-Falah",320000
